Grupo	Código	Parroquia Base	Región	Código	Provincia	Código	Cantón	Código	Parroquia
87			Sierra	04	Carchi	0406	San Pedro De Huaca	040650	Huaca
87			AmazonÝa	21	Sucumbios	2105	Sucumbios	210551	El Playon de San Francisco
87			Sierra	04	Carchi	0406	San Pedro De Huaca	040651	Mariscal Sucre
87			Sierra	04	Carchi	0405	Montufar	040553	Fernandez Salvador
88			Costa	08	Esmeraldas	0801	Esmeraldas	080159	Majua
88			Costa	08	Esmeraldas	0804	Quininde	080452	Chura (Chancama)(cab. en el Yerbero)
89			Sierra	10	Imbabura	1001	Ibarra	100153	Carolina
89			Sierra	04	Carchi	0404	Mira	040451	Concepci¾n
89			Sierra	04	Carchi	0404	Mira	040450	Mira (Chontahuasi)
89			Sierra	04	Carchi	0404	Mira	040453	Juan Montalvo (San Ignacio de Quil)
89			Sierra	10	Imbabura	1001	Ibarra	100156	Salinas
90			Sierra	04	Carchi	0405	Montufar	040552	Chitan De Navarrete
90			Sierra	04	Carchi	0401	Tulc?n	040161	Santa Martha de Cuba
90			Sierra	04	Carchi	0405	Montufar	040550	San Gabriel
90			Sierra	04	Carchi	0401	Tulc?n	040155	Pioter
90			Sierra	04	Carchi	0405	Montufar	040551	Cristobal Col¾n
90			Sierra	04	Carchi	0406	San Pedro De Huaca	040650	Huaca
90			AmazonÝa	21	Sucumbios	2105	Sucumbios	210551	El Playon de San Francisco
90			Sierra	04	Carchi	0406	San Pedro De Huaca	040651	Mariscal Sucre
90			Sierra	04	Carchi	0405	Montufar	040553	Fernandez Salvador
90			Sierra	04	Carchi	0405	Montufar	040555	Piartal
91			Sierra	04	Carchi	0405	Montufar	040550	San Gabriel
91			Sierra	04	Carchi	0405	Montufar	040554	La Paz
91			Sierra	04	Carchi	0402	Bolivar	040250	BolÝvar
92			Sierra	04	Carchi	0405	Montufar	040554	La Paz
92			Sierra	04	Carchi	0402	Bolivar	040250	BolÝvar
92			Sierra	04	Carchi	0402	Bolivar	040252	Los Andes
93			Sierra	10	Imbabura	1006	Urcuqui	100652	La Merced De Buenos Aires
93			Sierra	10	Imbabura	1003	Cotacachi	100353	Imantag
93			Sierra	10	Imbabura	1006	Urcuqui	100651	Cahuasqui
93			Sierra	10	Imbabura	1003	Cotacachi	100351	Apuela
93			Sierra	10	Imbabura	1006	Urcuqui	100654	San Blas
94			Sierra	04	Carchi	0403	Espejo	040350	El Angel
94			Sierra	04	Carchi	0403	Espejo	040353	San Isidro
94			Sierra	04	Carchi	0404	Mira	040450	Mira (Chontahuasi)
94			Sierra	04	Carchi	0402	Bolivar	040250	BolÝvar
94			Sierra	04	Carchi	0402	Bolivar	040251	Garcia Moreno
94			Sierra	04	Carchi	0402	Bolivar	040252	Los Andes
